No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;Time 1
1811;28.280.071;192.168.100.17;31.13.95.60;TLSv1.3;236;Application Data;;;;;;;;;28280071
1812;28.305.715;31.13.95.60;192.168.100.17;TCP;56;443  >  63203 [ACK] Seq=213 Ack=582 Win=65535 Len=0;;;;;;;;;28305715
1813;28.305.849;31.13.95.60;192.168.100.17;TCP;56;443  >  63203 [ACK] Seq=213 Ack=674 Win=65535 Len=0;;;;;;;;;28305849
1814;28.323.054;31.13.95.60;192.168.100.17;TCP;56;443  >  63203 [ACK] Seq=213 Ack=982 Win=65535 Len=0;;;;;;;;;28323054
1815;28.323.054;31.13.95.60;192.168.100.17;TCP;56;[TCP Dup ACK 1814#1] 443  >  63203 [ACK] Seq=213 Ack=982 Win=65535 Len=0;;;;;;;;;28323054
1816;28.323.054;31.13.95.60;192.168.100.17;TCP;56;443  >  63203 [ACK] Seq=213 Ack=2576 Win=65535 Len=0;;;;;;;;;28323054
1817;28.323.054;31.13.95.60;192.168.100.17;TLSv1.3;225;Application Data;;;;;;;;;28323054
1818;28.323.054;31.13.95.60;192.168.100.17;TLSv1.3;134;Application Data;;;;;;;;;28323054
1819;28.323.054;31.13.95.60;192.168.100.17;TLSv1.3;98;Application Data;;;;;;;;;28323054
1820;28.323.237;192.168.100.17;31.13.95.60;TCP;54;63203  >  443 [ACK] Seq=2576 Ack=508 Win=63733 Len=0;;;;;;;;;28323237
1821;28.323.621;192.168.100.17;31.13.95.60;TLSv1.3;85;Application Data;;;;;;;;;28323621
1822;28.337.049;31.13.95.60;192.168.100.17;TCP;56;443  >  63203 [ACK] Seq=508 Ack=2607 Win=65535 Len=0;;;;;;;;;28337049
1823;28.727.267;31.13.95.60;192.168.100.17;TLSv1.3;324;Application Data;;;;;;;;;28727267
1824;28.727.267;31.13.95.60;192.168.100.17;TCP;324;[TCP Retransmission] 443  >  63203 [PSH, ACK] Seq=508 Ack=2607 Win=65535 Len=270;;;;;;;;;28727267
1825;28.727.334;192.168.100.17;31.13.95.60;TCP;54;63203  >  443 [ACK] Seq=2607 Ack=778 Win=64952 Len=0;;;;;;;;;28727334
1826;28.921.160;192.168.100.17;35.186.224.39;TLSv1.2;97;Application Data;;;;;;;;;28921160
1827;28.936.057;35.186.224.39;192.168.100.17;TCP;56;443  >  65458 [ACK] Seq=1 Ack=44 Win=272 Len=0;;;;;;;;;28936057
1828;28.994.472;35.186.224.39;192.168.100.17;TLSv1.2;94;Application Data;;;;;;;;;28994472
1829;29.048.014;192.168.100.17;35.186.224.39;TCP;54;65458  >  443 [ACK] Seq=44 Ack=41 Win=510 Len=0;;;;;;;;;29048014
1832;30.121.590;192.168.100.17;35.186.224.47;TLSv1.2;97;Application Data;;;;;;;;;30121590
1833;30.137.224;35.186.224.47;192.168.100.17;TCP;54;443  >  65379 [ACK] Seq=41 Ack=87 Win=272 Len=0;;;;;;;;;30137224
1834;30.198.605;35.186.224.47;192.168.100.17;TLSv1.2;94;Application Data;;;;;;;;;30198605
1835;30.245.746;192.168.100.17;35.186.224.47;TCP;54;65379  >  443 [ACK] Seq=87 Ack=81 Win=255 Len=0;;;;;;;;;30245746
1836;32.570.041;192.168.100.17;74.125.200.103;TCP;55;63196  >  443 [ACK] Seq=1 Ack=1 Win=64952 Len=1 [TCP segment of a reassembled PDU];;;;;;;;;32570041
1837;32.597.740;74.125.200.103;192.168.100.17;TCP;54;443  >  63196 [ACK] Seq=1 Ack=2 Win=65535 Len=0;;;;;;;;;32597740
1838;33.516.740;192.168.100.17;35.186.224.47;TLSv1.2;89;Application Data;;;;;;;;;33516740
1839;33.537.448;35.186.224.47;192.168.100.17;TCP;56;443  >  65461 [ACK] Seq=32 Ack=71 Win=266 Len=0;;;;;;;;;33537448
1840;33.596.393;35.186.224.47;192.168.100.17;TLSv1.2;85;Application Data;;;;;;;;;33596393
1841;33.648.790;192.168.100.17;35.186.224.47;TCP;54;65461  >  443 [ACK] Seq=71 Ack=63 Win=509 Len=0;;;;;;;;;33648790
1842;35.870.694;192.168.100.17;199.232.44.84;TCP;55;63112  >  443 [ACK] Seq=1 Ack=1 Win=63579 Len=1 [TCP segment of a reassembled PDU];;;;;;;;;35870694
1843;35.900.661;199.232.44.84;192.168.100.17;TCP;56;443  >  63112 [ACK] Seq=1 Ack=2 Win=65535 Len=0;;;;;;;;;35900661
1844;38.659.866;35.186.224.39;192.168.100.17;TLSv1.2;445;Application Data;;;;;;;;;38659866
1845;38.707.284;192.168.100.17;35.186.224.39;TCP;54;65458  >  443 [ACK] Seq=44 Ack=432 Win=509 Len=0;;;;;;;;;38707284
1846;38.721.071;192.168.100.17;35.186.224.25;TLSv1.2;150;Ignored Unknown Record;;;;;;;;;38721071
1847;38.721.234;192.168.100.17;35.186.224.25;TLSv1.2;93;Application Data;;;;;;;;;38721234
1848;38.756.029;35.186.224.25;192.168.100.17;TLSv1.2;93;Application Data;;;;;;;;;38756029
1849;38.756.029;35.186.224.25;192.168.100.17;TCP;56;443  >  55370 [ACK] Seq=1 Ack=98 Win=597 Len=0;;;;;;;;;38756029
1850;38.756.157;192.168.100.17;35.186.224.25;TCP;54;55370  >  443 [ACK] Seq=137 Ack=40 Win=508 Len=0;;;;;;;;;38756157
1851;38.760.673;35.186.224.25;192.168.100.17;TCP;56;443  >  55370 [ACK] Seq=1 Ack=137 Win=597 Len=0;;;;;;;;;38760673
1852;38.760.716;192.168.100.17;35.186.224.25;TCP;54;[TCP Dup ACK 1850#1] 55370  >  443 [ACK] Seq=137 Ack=40 Win=508 Len=0;;;;;;;;;38760716
1853;38.823.046;35.186.224.25;192.168.100.17;TLSv1.2;129;Application Data;;;;;;;;;38823046
1854;38.823.046;35.186.224.25;192.168.100.17;TLSv1.2;513;Application Data;;;;;;;;;38823046
1855;38.823.046;35.186.224.25;192.168.100.17;TLSv1.2;176;Application Data;;;;;;;;;38823046
1856;38.823.046;35.186.224.25;192.168.100.17;TLSv1.2;93;Application Data;;;;;;;;;38823046
1857;38.823.161;192.168.100.17;35.186.224.25;TCP;54;55370  >  443 [ACK] Seq=137 Ack=735 Win=512 Len=0;;;;;;;;;38823161
1858;38.824.046;192.168.100.17;35.186.224.25;TLSv1.2;93;Application Data;;;;;;;;;38824046
1859;38.834.849;192.168.100.17;35.186.224.13;TLSv1.2;140;Ignored Unknown Record;;;;;;;;;38834849
1860;38.834.985;192.168.100.17;35.186.224.13;TLSv1.2;93;Application Data;;;;;;;;;38834985
1861;38.835.037;192.168.100.17;35.186.224.13;TLSv1.2;703;Application Data;;;;;;;;;38835037
1862;38.835.546;192.168.100.17;35.186.224.13;TLSv1.2;136;Application Data;;;;;;;;;38835546
1863;38.835.683;192.168.100.17;35.186.224.13;TLSv1.2;675;Application Data;;;;;;;;;38835683
1864;38.856.227;35.186.224.25;192.168.100.17;TCP;56;443  >  55370 [ACK] Seq=735 Ack=176 Win=597 Len=0;;;;;;;;;38856227
1865;38.863.284;35.186.224.13;192.168.100.17;TCP;56;443  >  65460 [ACK] Seq=1 Ack=88 Win=736 Len=0;;;;;;;;;38863284
1866;38.864.346;35.186.224.13;192.168.100.17;TLSv1.2;93;Application Data;;;;;;;;;38864346
1867;38.864.346;35.186.224.13;192.168.100.17;TCP;56;443  >  65460 [ACK] Seq=1 Ack=127 Win=736 Len=0;;;;;;;;;38864346
1868;38.864.346;35.186.224.13;192.168.100.17;TCP;56;443  >  65460 [ACK] Seq=1 Ack=776 Win=747 Len=0;;;;;;;;;38864346
1869;38.864.346;35.186.224.13;192.168.100.17;TCP;56;443  >  65460 [ACK] Seq=1 Ack=858 Win=747 Len=0;;;;;;;;;38864346
1870;38.864.346;35.186.224.13;192.168.100.17;TCP;56;443  >  65460 [ACK] Seq=1 Ack=1479 Win=758 Len=0;;;;;;;;;38864346
1871;38.864.435;192.168.100.17;35.186.224.13;TCP;54;65460  >  443 [ACK] Seq=1479 Ack=40 Win=508 Len=0;;;;;;;;;38864435
1872;38.864.503;192.168.100.17;35.186.224.13;TCP;54;[TCP Dup ACK 1871#1] 65460  >  443 [ACK] Seq=1479 Ack=40 Win=508 Len=0;;;;;;;;;38864503
1873;38.864.524;192.168.100.17;35.186.224.13;TCP;54;[TCP Dup ACK 1871#2] 65460  >  443 [ACK] Seq=1479 Ack=40 Win=508 Len=0;;;;;;;;;38864524
1874;38.864.543;192.168.100.17;35.186.224.13;TCP;54;[TCP Dup ACK 1871#3] 65460  >  443 [ACK] Seq=1479 Ack=40 Win=508 Len=0;;;;;;;;;38864543
1875;38.941.804;35.186.224.13;192.168.100.17;TLSv1.2;125;Application Data;;;;;;;;;38941804
1876;38.941.804;35.186.224.13;192.168.100.17;TLSv1.2;174;Application Data;;;;;;;;;38941804
1877;38.941.804;35.186.224.13;192.168.100.17;TLSv1.2;194;Application Data;;;;;;;;;38941804
1878;38.941.804;35.186.224.13;192.168.100.17;TLSv1.2;93;Application Data;;;;;;;;;38941804
1879;38.941.948;192.168.100.17;35.186.224.13;TCP;54;65460  >  443 [ACK] Seq=1479 Ack=410 Win=512 Len=0;;;;;;;;;38941948
1880;38.942.903;192.168.100.17;35.186.224.13;TLSv1.2;93;Application Data;;;;;;;;;38942903
1881;38.947.669;35.186.224.13;192.168.100.17;TLSv1.2;125;Application Data;;;;;;;;;38947669
1882;38.947.669;35.186.224.13;192.168.100.17;TLSv1.2;321;Application Data;;;;;;;;;38947669
1883;38.947.761;192.168.100.17;35.186.224.13;TCP;54;65460  >  443 [ACK] Seq=1518 Ack=748 Win=511 Len=0;;;;;;;;;38947761
1884;38.948.034;35.186.224.13;192.168.100.17;TLSv1.2;91;Application Data;;;;;;;;;38948034
1885;38.955.587;192.168.100.17;35.186.224.13;TLSv1.2;140;Application Data;;;;;;;;;38955587
1886;38.955.717;192.168.100.17;35.186.224.13;TLSv1.2;703;Application Data;;;;;;;;;38955717
1887;38.956.221;192.168.100.17;35.186.224.13;TLSv1.2;136;Application Data;;;;;;;;;38956221
1888;38.956.311;192.168.100.17;35.186.224.13;TLSv1.2;667;Application Data;;;;;;;;;38956311
1889;38.964.106;192.168.100.17;185.184.8.65;TCP;55;63120  >  443 [ACK] Seq=1 Ack=1 Win=63718 Len=1 [TCP segment of a reassembled PDU];;;;;;;;;38964106
1890;38.975.260;35.186.224.13;192.168.100.17;TCP;56;443  >  65460 [ACK] Seq=785 Ack=1518 Win=758 Len=0;;;;;;;;;38975260
1891;38.985.400;35.186.224.13;192.168.100.17;TCP;66;443  >  65460 [ACK] Seq=785 Ack=1604 Win=769 Len=0 SLE=2253 SRE=2335;;;;;;;;;38985400
1892;38.986.121;35.186.224.13;192.168.100.17;TCP;56;443  >  65460 [ACK] Seq=785 Ack=2335 Win=780 Len=0;;;;;;;;;38986121
1893;38.988.322;35.186.224.13;192.168.100.17;TCP;56;443  >  65460 [ACK] Seq=785 Ack=2948 Win=791 Len=0;;;;;;;;;38988322
1894;39.078.018;35.186.224.13;192.168.100.17;TLSv1.2;125;Application Data;;;;;;;;;39078018
1895;39.078.018;35.186.224.13;192.168.100.17;TLSv1.2;315;Application Data;;;;;;;;;39078018
1896;39.078.018;35.186.224.13;192.168.100.17;TLSv1.2;157;Application Data;;;;;;;;;39078018
1897;39.078.132;192.168.100.17;35.186.224.13;TCP;54;65460  >  443 [ACK] Seq=2948 Ack=1220 Win=509 Len=0;;;;;;;;;39078132
1898;39.079.477;35.186.224.13;192.168.100.17;TLSv1.2;93;Application Data;;;;;;;;;39079477
1899;39.079.570;192.168.100.17;35.186.224.13;TCP;54;65460  >  443 [ACK] Seq=2948 Ack=1259 Win=509 Len=0;;;;;;;;;39079570
1900;39.080.719;192.168.100.17;35.186.224.13;TLSv1.2;93;Application Data;;;;;;;;;39080719
1901;39.109.711;35.186.224.13;192.168.100.17;TLSv1.2;125;Application Data;;;;;;;;;39109711
1902;39.110.936;35.186.224.13;192.168.100.17;TLSv1.2;229;Application Data;;;;;;;;;39110936
1903;39.110.936;35.186.224.13;192.168.100.17;TLSv1.2;213;Application Data;;;;;;;;;39110936
1904;39.111.010;192.168.100.17;35.186.224.13;TCP;54;65460  >  443 [ACK] Seq=2987 Ack=1664 Win=508 Len=0;;;;;;;;;39111010
